rownum,schoolName,type,satc,admRate,yield,pctRet2,schoolSz,pctLifeOC,finaidAvgAmt
3473,William Jessup University,Private,1530,63.4,53.3,82,991,53,20164
349,Schreiner University,Private,1490,63.4,37.2,71,1068,66,17390
3308,Endicott College,Private,1605,63.4,28.0,83,2762,83,18969
1192,University of Illinois at Urbana-Champaign,Public,2085,63.3,34.8,94,32281,50,14647
1843,Asbury University,Private,1660,63.3,40.4,84,1529,85,17625
3221,Allegheny College,Private,1805,63.3,19.3,89,2140,90,31387
4015,Appalachian State University,Public,1730,63.2,39.1,88,15712,37,8217
1232,Slippery Rock University of Pennsylvania,Public,1515,63.2,39.0,81,7860,36,8152
1010,Kuyper College,Private,1545,63.2,55.1,72,300,51,
4,Lake Erie College,Private,1490,63.2,28.9,64,1032,56,22233
2129,Cleveland State University,Public,1535,63.2,42.3,65,12038,8,9344
3002,Catholic University of America,Private,1670,63.2,22.0,84,3694,59,25293
266,Life Pacific College,Private,1450,63.1,77.7,,586,52,
691,Mercer University,Private,1760,63.1,29.1,82,2382,67,30748
711,Bennington College,Private,1890,63.0,25.3,83,688,95,36238
1231,Millersville University of Pennsylvania,Public,1535,62.9,31.4,79,7424,30,7570
2578,St. Edward's University,Private,1685,62.8,29.4,79,4238,38,25537
4216,San Francisco Art Institute,Private,1510,62.8,25.5,63,453,29,16960
427,Wheeling Jesuit University,Private,1535,62.8,31.7,72,1173,65,21386
3570,Vermont Technical College,Public,1420,62.8,49.4,69,1645,,10617
3654,Dixie State College,Public,1370,62.8,60.9,54,8863,,6379
363,Wofford College,Private,1870,62.7,21.9,89,1588,93,27554
993,University of California: Riverside,Public,1655,62.7,21.2,88,18539,31,23705
504,Briar Cliff University,Private,1445,62.7,19.5,69,1030,32,21124
1502,Mills College,Private,1730,62.7,16.3,77,937,58,38795
2274,Wesley College,Private,1255,62.6,30.3,,1574,64,
3560,University of Massachusetts Amherst,Public,1800,62.5,21.4,88,21928,61,13920
3043,DePauw University,Private,1820,62.5,19.1,89,2336,95,31834
2106,University of Memphis,Public,1535,62.4,53.1,76,17647,14,9433
710,Becker College,Private,1490,62.3,18.2,65,1826,39,20625
3042,DePaul University,Private,1725,62.3,22.9,85,16498,17,21917
3039,Defiance College,Private,1365,62.3,24.1,50,932,50,23288
4220,Carroll College,Private,1660,62.2,24.3,86,1464,59,18801
769,Wells College,Private,1600,62.2,15.7,70,538,84,34198
282,University of Texas-Pan American,Public,1440,62.2,53.6,75,16966,4,10125
2497,East Carolina University,Public,1580,62.2,34.5,78,21298,,9614
692,Meredith College,Private,1525,62.1,38.2,77,1665,61,
3747,Bryant University,Private,1735,62.0,20.8,88,3180,81,23109
2717,Agnes Scott College,Private,1725,62.0,24.1,82,885,85,32686
2599,Oklahoma Baptist University,Private,1605,62.0,16.6,75,1903,64,10905
3380,Simpson University,Private,1505,61.9,43.6,74,1033,63,19748
4421,Hiram College,Private,1510,61.9,20.5,75,1293,77,26443
2254,California State University: San Marcos,Public,1450,61.9,26.5,83,9928,,
810,Saint Joseph's College,Private,1470,61.8,22.1,67,1074,61,24409
132,AIB College of Business,Private,1425,61.7,66.2,,921,36,15616
3346,Savannah College of Art and Design,Private,1580,61.7,32.4,81,9182,41,28283
3551,University of North Texas,Public,1650,61.7,41.5,80,28956,19,12113
4144,Pratt Institute,Private,1780,61.6,23.6,83,3076,51,20160
1535,Kettering University,Private,1760,61.6,28.2,92,1724,58,22475
332,Culver-Stockton College,Private,1335,61.5,30.3,68,769,77,21281
96,Gallaudet University,Private,1320,61.5,68.1,77,1117,76,18747
1191,University of Detroit Mercy,Private,1685,61.5,21.4,79,2868,21,
3691,Caldwell College,Private,1385,61.4,18.1,82,1591,32,23857
283,Oklahoma Panhandle State University,Public,1265,61.4,50.3,,1382,40,
4168,The Master's College,Private,1635,61.4,40.1,77,1134,82,21678
709,Bay Path College,Private,1475,61.3,25.8,74,1558,23,26570
935,Purdue University,Public,1795,61.3,33.2,91,30147,35,12668
227,Minneapolis College of Art and Design,Private,1610,61.3,41.2,78,623,39,
2535,Upper Iowa University,Private,1640,61.3,25.5,68,4645,8,9041
1307,Cedar Crest College,Private,1490,61.2,20.5,70,1359,23,26840
2339,Newberry College,Private,1440,61.2,42.1,68,1042,72,20509
1325,Carlow University,Private,1410,61.2,31.3,70,1955,27,21212
2060,Ball State University,Public,1590,61.2,34.4,77,16652,42,10271
2649,Henderson State University,Public,1525,61.1,37.8,59,3363,41,12199
1196,University of Mississippi,Public,1620,61.1,39.6,81,16060,31,9347
873,Providence College,Private,1745,61.0,17.0,90,3810,78,28357
2669,Benedictine College,Private,1685,61.0,23.9,78,2086,85,18948
608,Methodist University,Private,1475,61.0,22.0,,2157,47,
